id,Name,Year,IMDB Rating,Metascore,Number of Votes
2788,Paranormal Activity 3,(2011),5.8,59,81842
2789,The Rite,(2011),6.0,38,81350
2790,Season of the Witch,(2011),5.4,28,81301
2791,The Best Exotic Marigold Hotel,(2011),7.3,62,81038
2792,Another Earth,(2011),7.0,66,80460
2793,The Muppets,(2011),7.1,75,79225
2794,Our Idiot Brother,(2011),6.4,60,78284
2795,Take Shelter,(2011),7.4,85,77433
2796,Goon,(2011),6.8,64,76629
2797,My Week with Marilyn,(2011),7.0,65,76179
2798,Haywire,(2011),5.8,67,76064
2799,Justin Bieber: Never Say Never,(2011),1.6,52,74757
2800,Mr. Popper's Penguins,(2011),6.0,53,74399
2801,The Smurfs,(2011),5.5,30,72907
2802,New Year's Eve,(2011),5.7,22,72402
2803,You're Next,(2011),6.5,66,72376
2804,The Guard,(2011),7.3,78,70716
2805,Jane Eyre,(2011),7.4,76,70108
2806,Beastly,(2011),5.6,40,69038
2807,Abduction,(I) (2011),5.1,25,69032
2808,The Inbetweeners Movie,(2011),6.8,44,68939
2809,Young Adult,(2011),6.3,71,68801
2810,Jack and Jill,(I) (2011),3.4,23,65991
2811,What's Your Number?,(2011),6.1,35,64239
2812,Detachment,(2011),7.7,52,64231
2813,Killer Joe,(2011),6.7,62,64094
2814,God Bless America,(2011),7.2,56,63761
2815,The Sitter,(2011),5.7,39,63378
2816,A Very Harold & Kumar 3D Christmas,(2011),6.3,61,59288
2817,"Jeff, Who Lives at Home",(2011),6.5,60,58218
2818,The Eagle,(2011),6.2,55,57967
2819,Machine Gun Preacher,(2011),6.8,43,57239
2820,Red State,(2011),6.2,50,56928
2821,The Devil's Double,(2011),7.1,52,56498
2822,The Awakening,(I) (2011),6.5,53,56339
2823,Dream House,(2011),6.0,35,55602
2824,Salmon Fishing in the Yemen,(2011),6.8,58,55597
2825,Larry Crowne,(2011),6.1,41,54509
2826,Like Crazy,(2011),6.7,68,52396
2827,The Darkest Hour,(2011),4.9,18,52330
2828,Something Borrowed,(2011),5.9,36,51604
2829,Bernie,(2011),6.8,75,50795
2830,The Art of Getting By,(2011),6.6,36,50669
2831,Win Win,(2011),7.2,75,50382
2832,Sanctum,(2011),5.9,42,49500
2833,Apollo 18,(2011),5.2,24,49496
2834,Zookeeper,(2011),5.2,30,48929
2835,Perfect Sense,(2011),7.1,55,47492
2836,Arthur,(I) (2011),5.7,36,47422
2837,Take Me Home Tonight,(2011),6.3,42,46450
2838,The Dilemma,(2011),5.3,46,46351
2839,Gnomeo & Juliet,(2011),6.0,53,45914
2840,Grave Encounters,(2011),6.1,33,44837
2841,Don 2,(2011),7.1,49,43681
2842,Martha Marcy May Marlene,(2011),6.9,75,43428
2843,The Beaver,(2011),6.7,60,43155
2844,The Flowers of War,(2011),7.6,46,42552
2845,Arthur Christmas,(2011),7.1,69,41618
2846,Seeking Justice,(2011),6.2,38,41231
2847,Footloose,(2011),5.9,58,40636
2848,Hobo with a Shotgun,(2011),6.1,55,39841
2849,Soul Surfer,(2011),7.1,53,38843
2850,Kill the Irishman,(2011),7.1,50,38141
2851,Friends with Kids,(2011),6.2,55,38045
2852,The Big Year,(2011),6.2,53,37575
2853,Trespass,(2011),5.3,37,37226
2854,Ironclad,(2011),6.2,42,36508
2855,Anonymous,(I) (2011),6.9,50,36454
2856,Monte Carlo,(2011),5.8,43,36215
2857,Happy Feet Two,(2011),5.9,50,35645
2858,Cedar Rapids,(2011),6.3,70,33941
2859,Ra.One,(2011),4.8,60,33551
2860,The Hunter,(IV) (2011),6.8,63,33121
2861,The Divide,(2011),5.8,28,32281
2862,In the Land of Blood and Honey,(2011),4.4,56,32235
2863,The Dark Knight Rises,(2012),8.4,78,1276364
2864,Django Unchained,(2012),8.4,81,1095251
2865,The Avengers,(2012),8.1,69,1080591
2866,The Hunger Games,(2012),7.2,68,757457
2867,The Hobbit: An Unexpected Journey,(2012),7.9,58,687918
2868,Silver Linings Playbook,(2012),7.8,81,584403
2869,Skyfall,(2012),7.8,81,562835
2870,Prometheus,(I) (2012),7.0,65,510508
2871,Ted,(2012),7.0,62,509842
2872,Argo,(2012),7.7,86,500060
2873,Life of Pi,(2012),7.9,79,492402
2874,The Amazing Spider-Man,(2012),7.0,66,491587
2875,Looper,(2012),7.4,84,469387
2876,21 Jump Street,(2012),7.2,69,448459
2877,The Perks of Being a Wallflower,(2012),8.0,67,394004
2878,The Cabin in the Woods,(2012),7.0,72,310094
2879,Cloud Atlas,(2012),7.5,55,309151
2880,Brave,(2012),7.2,69,308318
2881,Wreck-It Ralph,(2012),7.7,72,303964
2882,Men in Black 3,(2012),6.8,58,286945
2883,Flight,(I) (2012),7.3,76,284642
2884,Moonrise Kingdom,(2012),7.8,84,266681
2885,Les Misérables,(2012),7.6,63,266588
2886,The Expendables 2,(2012),6.6,51,264536
2887,Jack Reacher,(2012),7.0,50,261771
2888,Taken 2,(2012),6.3,45,258254
2889,The Bourne Legacy,(2012),6.7,61,253552
2890,Snow White and the Huntsman,(2012),6.1,57,246133
2891,Pitch Perfect,(2012),7.2,66,237262
2892,Zero Dark Thirty,(2012),7.4,95,234760
2893,The Dictator,(2012),6.4,58,233346
2894,John Carter,(2012),6.6,51,226963
2895,Dredd,(2012),7.1,59,221269
2896,Chronicle,(2012),7.1,69,218929
2897,Total Recall,(I) (2012),6.3,43,217156
2898,Dark Shadows,(2012),6.2,55,216590
2899,Battleship,(2012),5.8,41,215656
2900,Lincoln,(2012),7.4,86,214463
2901,The Place Beyond the Pines,(2012),7.3,68,209935
2902,The Hunt,(2012),8.3,77,207984
2903,Seven Psychopaths,(2012),7.2,66,204882
2904,Lawless,(2012),7.3,58,202057
2905,The Twilight Saga: Breaking Dawn - Part 2,(2012),5.5,52,200266
2906,End of Watch,(2012),7.7,68,199823
2907,Hotel Transylvania,(2012),7.1,47,184497
2908,American Reunion,(2012),6.7,49,182904
2909,Sinister,(I) (2012),6.8,53,181430
2910,Safe House,(2012),6.8,52,179898
2911,Project X,(2012),6.7,48,168889
2912,The Impossible,(2012),7.6,73,163714
2913,Wrath of the Titans,(2012),5.8,37,163705
2914,The Vow,(2012),6.8,43,162356
2915,Ice Age: Continental Drift,(2012),6.6,49,161300
2916,This Means War,(2012),6.3,31,159193
2917,The Woman in Black,(2012),6.4,62,156137
2918,Mud,(2012),7.4,76,148015
2919,Abraham Lincoln: Vampire Hunter,(2012),5.9,42,136597
2920,Rise of the Guardians,(2012),7.3,57,135798
2921,Madagascar 3: Europe's Most Wanted,(2012),6.9,60,132898
2922,Man on a Ledge,(2012),6.6,40,132117
2923,Underworld Awakening,(2012),6.4,39,131514
2924,Killing Them Softly,(2012),6.2,64,119114
2925,The Master,(2012),7.1,86,118516
2926,Resident Evil: Retribution,(2012),5.4,39,118439
2927,Spring Breakers,(2012),5.3,63,118002
2928,Magic Mike,(2012),6.1,72,117225
2929,The Campaign,(2012),6.1,50,113281
2930,This Is 40,(2012),6.2,59,110996
2931,The Watch,(I) (2012),5.7,36,110724
2932,Savages,(2012),6.5,59,110383
2933,Safety Not Guaranteed,(2012),7.0,72,107529
2934,Contraband,(2012),6.5,51,107080
2935,Premium Rush,(2012),6.5,66,101321
2936,Seeking a Friend for the End of the World,(2012),6.7,59,96273
2937,Safe,(I) (2012),6.5,55,91108
2938,The Lucky One,(2012),6.5,39,86852
2939,Ruby Sparks,(2012),7.2,67,86416
2940,Lockout,(2012),6.1,48,86388
2941,The Lorax,(2012),6.4,46,84385
2942,The Five-Year Engagement,(2012),6.2,62,83799
2943,Frankenweenie,(2012),7.0,74,82628
2944,ParaNorman,(2012),7.0,72,81023
2945,Amour,(2012),7.9,94,78677
2946,Anna Karenina,(I) (2012),6.6,63,78639
2947,Here Comes the Boom,(2012),6.4,40,78631
2948,That's My Boy,(2012),5.6,31,77090
2949,The Raven,(I) (2012),6.4,44,76966
2950,Mirror Mirror,(I) (2012),5.6,46,75640
2951,Journey 2: The Mysterious Island,(2012),5.8,41,75254
2952,To Rome with Love,(2012),6.3,54,75066
2953,Beasts of the Southern Wild,(2012),7.3,86,74563
2954,Stuck in Love,(2012),7.3,49,73997
2955,Disconnect,(I) (2012),7.6,64,66859
2956,Rock of Ages,(2012),5.9,47,66211
2957,Red Dawn,(2012),5.4,31,66112
2958,Wanderlust,(2012),5.6,53,65966
2959,The Words,(2012),7.1,37,65899
2960,Hitchcock,(2012),6.8,55,64942
2961,Upside Down,(I) (2012),6.4,45,63236
2962,House at the End of the Street,(2012),5.6,31,62993
2963,What to Expect When You're Expecting,(2012),5.7,41,62000
2964,The Iceman,(2012),6.9,60,61261
2965,Act of Valor,(2012),6.5,40,61206
2966,Gangs of Wasseypur,(2012),8.3,89,57549
2967,The First Time,(I) (2012),6.9,55,57069
2968,Robot & Frank,(2012),7.1,67,56403
2969,The Man with the Iron Fists,(2012),5.4,51,56295
2970,Paranormal Activity 4,(2012),4.6,40,55085
2971,Rust and Bone,(2012),7.5,73,54794
2972,Searching for Sugar Man,(2012),8.2,79,54454
2973,Silent Hill: Revelation,(2012),5.0,16,53877
2974,Trouble with the Curve,(2012),6.8,58,52473
2975,Frances Ha,(2012),7.4,82,52409
2976,Red Lights,(2012),6.2,36,52328
2977,The Possession,(I) (2012),5.9,45,50892
2978,V/H/S,(2012),5.8,55,49507
2979,Step Up Revolution,(2012),6.5,43,48871
2980,Stand Up Guys,(2012),6.5,41,48362
2981,Arbitrage,(2012),6.6,73,44765
2982,Bullet to the Head,(2012),5.7,48,42332
2983,Bachelorette,(2012),5.3,53,40637
2984,The Odd Life of Timothy Green,(2012),6.6,47,40513
2985,Cosmopolis,(2012),5.0,58,40064
2986,Stolen,(2012),5.5,43,39554
2987,The Imposter,(2012),7.5,77,39249
2988,The Collection,(II) (2012),6.1,38,39228
2989,Kon-Tiki,(2012),7.2,62,38657
2990,The Sessions,(2012),7.2,79,38354
2991,A Royal Affair,(2012),7.6,73,38116
2992,Think Like a Man,(2012),6.6,51,37926
2993,Gone,(I) (2012),5.9,36,37140
2994,People Like Us,(2012),7.1,49,37091
2995,Hope Springs,(2012),6.3,65,36924
2996,One for the Money,(2012),5.3,22,36582
2997,On the Road,(2012),6.1,56,35981
2998,Byzantium,(2012),6.5,66,35426
2999,Deadfall,(2012),6.3,52,34857
3000,Piranha 3DD,(2012),3.8,24,34537
3001,The Tall Man,(2012),5.9,52,33960
3002,A Thousand Words,(I) (2012),5.9,26,33898
3003,Holy Motors,(2012),7.1,84,33749
3004,The Broken Circle Breakdown,(2012),7.8,70,33669
3005,Talaash,(2012),7.3,65,33036
3006,John Dies at the End,(2012),6.4,53,32716
3007,Promised Land,(2012),6.6,55,32631
3008,The Guilt Trip,(2012),5.8,50,32343
3009,The Devil Inside,(2012),4.2,18,32143
3010,Liberal Arts,(2012),6.7,55,32052
3011,The Paperboy,(2012),5.8,45,31684
3012,The Cold Light of Day,(2012),4.9,22,31272
3013,Hit and Run,(2012),6.1,50,31169
3014,Red Tails,(2012),5.9,46,30424
3015,Maniac,(2012),6.1,47,30201
3016,Alex Cross,(2012),5.1,30,29865
3017,[REC] 3: Genesis,(2012),5.0,45,28563
3018,Would You Rather,(2012),5.8,20,28503
3019,The Act of Killing,(2012),8.2,89,28272
3020,The Company You Keep,(2012),6.4,57,28177
3021,Chasing Mavericks,(2012),7.2,45,27478
3022,The Three Stooges,(2012),5.1,56,27098
3023,Compliance,(2012),6.4,68,26998
3024,Celeste & Jesse Forever,(2012),6.6,59,26284
3025,Playing for Keeps,(2012),5.7,27,26073
3026,Wolf Children,(2012),8.2,71,25442
3027,The Wolf of Wall Street,(2013),8.2,75,919467
3028,Gravity,(2013),7.8,96,650846
3029,Iron Man 3,(2013),7.2,62,616555
3030,Man of Steel,(2013),7.1,55,603774
3031,The Hunger Games: Catching Fire,(2013),7.5,76,543476
3032,The Hobbit: The Desolation of Smaug,(2013),7.9,66,532709
3033,12 Years a Slave,(2013),8.1,96,517548
3034,World War Z,(2013),7.0,63,515912
3035,Now You See Me,(I) (2013),7.3,50,514602
3036,Frozen,(I) (2013),7.5,74,474046
3037,Thor: The Dark World,(2013),7.0,54,470011
3038,Prisoners,(2013),8.1,74,464953
3039,Star Trek: Into Darkness,(2013),7.8,72,428451
3040,Oblivion,(I) (2013),7.0,54,425109
3041,Her,(2013),8.0,90,416485
3042,Pacific Rim,(2013),7.0,64,413362
3043,The Great Gatsby,(2013),7.3,55,401994
3044,American Hustle,(2013),7.3,90,392140
3045,Elysium,(I) (2013),6.6,61,372307
3046,The Wolverine,(2013),6.7,60,371091
3047,Dallas Buyers Club,(2013),8.0,84,370541
3048,Captain Phillips,(2013),7.8,83,360966
3049,Rush,(I) (2013),8.1,75,357945
3050,The Conjuring,(2013),7.5,68,350990
3051,We're the Millers,(2013),7.0,44,347716
3052,This Is the End,(2013),6.6,67,339603
3053,Fast & Furious 6,(2013),7.1,61,329014
3054,Despicable Me 2,(2013),7.4,62,319493
3055,Monsters University,(2013),7.3,65,265086
3056,The Secret Life of Walter Mitty,(2013),7.3,54,258983
3057,The Hangover Part III,(2013),5.9,30,249776
3058,About Time,(I) (2013),7.8,55,234331
3059,Lone Survivor,(2013),7.5,60,229254
3060,Kick-Ass 2,(2013),6.6,41,223190
3061,Olympus Has Fallen,(2013),6.5,41,221810
3062,Snowpiercer,(2013),7.0,84,212988
3063,The World's End,(2013),7.0,81,211898
3064,Don Jon,(2013),6.6,66,205937
3065,Ender's Game,(2013),6.7,51,200300
3066,Warm Bodies,(2013),6.9,59,198884
3067,The Lone Ranger,(2013),6.5,37,197598
3068,Escape Plan,(2013),6.7,49,195434
3069,Gangster Squad,(2013),6.7,40,186572
3070,Oz the Great and Powerful,(2013),6.3,44,185377
3071,White House Down,(2013),6.4,52,179530
3072,A Good Day to Die Hard,(2013),5.3,28,178121
3073,Pain & Gain,(2013),6.4,45,174997
3074,Hansel & Gretel: Witch Hunters,(2013),6.1,21,173173
3075,After Earth,(2013),4.9,33,171844
3076,2 Guns,(2013),6.7,55,171190
3077,The Internship,(2013),6.3,42,171113
3078,Blue Jasmine,(2013),7.3,78,167398
3079,The Croods,(2013),7.2,55,165872
3080,The Purge,(I) (2013),5.7,41,162322
3081,Side Effects,(I) (2013),7.1,75,159721
3082,G.I. Joe: Retaliation,(2013),5.8,41,156322
3083,Mama,(I) (2013),6.2,57,149035
3084,Anchorman 2: The Legend Continues,(2013),6.3,61,144681
3085,The Heat,(I) (2013),6.6,60,144486
3086,RED 2,(2013),6.7,47,138695
3087,Evil Dead,(2013),6.5,57,137939
3088,Riddick,(2013),6.4,49,136564
3089,Saving Mr. Banks,(2013),7.5,65,130163
3090,47 Ronin,(2013),6.3,28,127591
3091,Insidious: Chapter 2,(2013),6.6,40,126775
3092,The Way Way Back,(2013),7.4,68,125694
3093,Enemy,(2013),6.9,61,123280
3094,The Spectacular Now,(2013),7.1,82,122109
3095,The Last Stand,(2013),6.4,54,121534
3096,Grown Ups 2,(2013),5.4,19,119268
3097,Begin Again,(II) (2013),7.4,62,118925
3098,Carrie,(2013),5.9,53,117616
3099,The Mortal Instruments: City of Bones,(2013),5.9,33,115774
3100,Last Vegas,(2013),6.6,48,115666
3101,Jack the Giant Slayer,(2013),6.3,51,115575
3102,Inside Llewyn Davis,(2013),7.5,93,111797
3103,The Book Thief,(2013),7.6,53,111293
3104,Before Midnight,(2013),7.9,94,111057
3105,Blue Is the Warmest Color,(2013),7.8,88,110319
3106,Locke,(2013),7.1,81,107454
3107,Identity Thief,(2013),5.7,35,106628
3108,R.I.P.D.,(2013),5.6,25,100961
3109,Under the Skin,(I) (2013),6.3,78,100737
3110,Trance,(I) (2013),6.9,61,100335
3111,The Host,(2013),5.9,35,99980
3112,Nebraska,(2013),7.7,86,99328
3113,Parker,(2013),6.2,42,99086
3114,Oculus,(I) (2013),6.5,61,97855
3115,The Call,(II) (2013),6.7,51,97412
3116,The Family,(I) (2013),6.3,42,96807
3117,Nymphomaniac: Vol. I,(2013),7.0,64,96220
3118,Lee Daniels' The Butler,(I) (2013),7.2,66,96132
3119,Percy Jackson: Sea of Monsters,(2013),5.9,39,95383
3120,Only God Forgives,(2013),5.7,37,93580
3121,Out of the Furnace,(2013),6.8,63,92517
3122,Stoker,(2013),6.8,58,92237
3123,Homefront,(I) (2013),6.5,40,91955
3124,Epic,(2013),6.7,52,91401
3125,Safe Haven,(I) (2013),6.7,34,88919
3126,The Counsellor,(2013),5.3,48,87546
3127,Movie 43,(2013),4.3,18,86895
3128,Filth,(I) (2013),7.1,56,86248
3129,The Best Offer,(2013),7.8,49,84432
3130,Jobs,(2013),5.9,44,84422
3131,Philomena,(2013),7.6,77,83959
3132,Bad Grandpa,(2013),6.5,54,82412
3133,Coherence,(2013),7.2,65,75114
3134,Beautiful Creatures,(2013),6.2,52,74679
3135,August: Osage County,(2013),7.2,58,74468
3136,The Bling Ring,(2013),5.6,66,73804
3137,Cloudy with a Chance of Meatballs 2,(2013),6.4,59,73120
3138,Only Lovers Left Alive,(2013),7.3,79,72884
3139,42,(2013),7.5,62,72341
3140,Snitch,(I) (2013),6.5,51,70544
3141,Nymphomaniac: Vol. II,(2013),6.7,60,70291
3142,Turbo,(2013),6.5,58,68809
3143,Broken City,(2013),6.2,49,68452
3144,The Kings of Summer,(2013),7.2,61,68337
3145,Delivery Man,(2013),6.4,44,66157
3146,Short Term 12,(2013),8.0,82,65986
3147,All Is Lost,(2013),6.9,87,65553
3148,21 & Over,(2013),5.9,34,65513
3149,Machete Kills,(2013),5.6,41,65241
3150,The Great Beauty,(2013),7.8,86,65232
3151,Horns,(2013),6.5,46,64648
3152,The Incredible Burt Wonderstone,(2013),5.9,44,64420
3153,Dark Skies,(2013),6.3,50,62637
3154,Fruitvale Station,(2013),7.5,85,61071
3155,What If,(I) (2013),6.8,59,59153
3156,Europa Report,(2013),6.5,68,59092
3157,Dead Man Down,(2013),6.5,39,58572
3158,Old Boy,(2013),5.8,49,57269
3159,Redemption,(I) (2013),6.2,43,57183
3160,Runner Runner,(2013),5.6,36,55879
3161,Scary Movie 5,(2013),3.5,11,55214
3162,The Wind Rises,(2013),7.8,83,53390
3163,Enough Said,(2013),7.1,78,53013
3164,Blue Ruin,(2013),7.1,77,52775
3165,Blackfish,(2013),8.1,83,52235
3166,Grudge Match,(2013),6.4,35,50866
3167,Drinking Buddies,(2013),6.1,71,50432
3168,The Frozen Ground,(2013),6.4,37,48029
3169,The East,(2013),6.8,68,44895
3170,Bad Words,(2013),6.7,57,41516
3171,The Big Wedding,(2013),5.6,28,41464
3172,Chennai Express,(2013),6.0,45,41183
3173,Ida,(2013),7.4,91,41138
3174,The Double,(2013),6.5,68,40795
3175,Odd Thomas,(2013),6.9,45,40458
3176,Joe,(I) (2013),6.9,74,39950
3177,The Zero Theorem,(2013),6.1,50,39119
3178,The Colony,(I) (2013),5.3,28,38227
3179,The Lunchbox,(2013),7.8,76,37993
3180,The Past,(2013),7.8,85,37838
3181,Planes,(2013),5.8,39,37819
3182,A Haunted House,(2013),5.1,20,37812
3183,Dhoom 3,(2013),5.4,61,37498
3184,Starred Up,(2013),7.4,81,36441
3185,Labor Day,(2013),6.9,52,35691
3186,Lovelace,(2013),6.2,51,33910
3187,The Fifth Estate,(2013),6.2,49,33191
3188,Interstellar,(2014),8.6,74,1131185
3189,Guardians of the Galaxy,(2014),8.1,76,811138
3190,Gone Girl,(2014),8.1,79,679093
3191,X-Men: Days of Future Past,(2014),8.0,74,574981
3192,Captain America: The Winter Soldier,(2014),7.8,70,574306
3193,The Grand Budapest Hotel,(2014),8.1,88,565978
3194,The Imitation Game,(2014),8.0,73,561451
3195,Whiplash,(2014),8.5,88,523267
3196,Edge of Tomorrow,(2014),7.9,71,497903
3197,Kingsman: The Secret Service,(2014),7.7,60,491460
3198,Birdman or (The Unexpected Virtue of Ignorance),(2014),7.8,88,467182
3199,The Hobbit: The Battle of the Five Armies,(2014),7.4,59,405055
3200,Divergent,(2014),6.7,48,375831
3201,Lucy,(I) (2014),6.4,61,370910
3202,American Sniper,(2014),7.3,72,370403
3203,John Wick,(2014),7.3,68,369622
3204,Ex Machina,(2014),7.7,78,368469
3205,Dawn of the Planet of the Apes,(2014),7.6,79,364649
3206,The Amazing Spider-Man 2,(2014),6.7,53,358425
3207,Nightcrawler,(2014),7.9,76,357939
3208,The Maze Runner,(2014),6.8,57,352016
3209,Fury,(2014),7.6,64,349171
3210,The Hunger Games: Mockingjay - Part 1,(2014),6.7,64,348739
3211,Big Hero 6,(2014),7.8,74,328667
3212,Godzilla,(2014),6.4,62,327455
3213,The Theory of Everything,(2014),7.7,72,318645
3214,Boyhood,(I) (2014),7.9,100,298038
3215,22 Jump Street,(2014),7.1,71,294776
3216,The Fault in Our Stars,(2014),7.8,69,286560
3217,Maleficent,(2014),7.0,56,280733
3218,The Lego Movie,(2014),7.8,83,279649
3219,The Interview,(II) (2014),6.6,52,270584
3220,Transformers: Age of Extinction,(2014),5.7,32,267629
3221,The Equalizer,(2014),7.2,57,258985
3222,How to Train Your Dragon 2,(2014),7.8,76,248101
3223,Neighbors,(I) (2014),6.3,68,247340
3224,300: Rise of an Empire,(2014),6.2,48,246768
3225,Non-Stop,(2014),7.0,56,219925
3226,Noah,(2014),5.8,68,216824
3227,Predestination,(I) (2014),7.5,69,202894
3228,RoboCop,(2014),6.2,52,195865
3229,Transcendence,(I) (2014),6.3,42,192746
3230,Teenage Mutant Ninja Turtles,(2014),5.8,31,183577
3231,Chef,(2014),7.3,68,159649
3232,Dracula Untold,(2014),6.3,40,154595
3233,It Follows,(2014),6.9,83,154574
3234,The Judge,(2014),7.4,48,152609
3235,Taken 3,(2014),6.0,26,152114
3236,A Million Ways to Die in the West,(2014),6.1,44,150318
3237,Need for Speed,(2014),6.5,39,147422
3238,The Babadook,(2014),6.8,86,147156
3239,The Expendables 3,(2014),6.1,35,144254
3240,Exodus: Gods and Kings,(2014),6.0,52,142546
3241,Horrible Bosses 2,(2014),6.3,40,132197
3242,Sin City: A Dame to Kill For,(2014),6.5,46,128730
3243,Hercules,(I) (2014),6.0,47,127053
3244,Wild Tales,(2014),8.1,77,124249
3245,The Drop,(2014),7.1,69,122304
3246,Unbroken,(I) (2014),7.2,59,120253
3247,Foxcatcher,(2014),7.0,81,118783
3248,Let's Be Cops,(2014),6.5,30,116140
3249,The Other Woman,(2014),6.0,39,114944
3250,Into the Woods,(2014),6.0,69,114621
3251,The Purge: Anarchy,(2014),6.5,50,112322
3252,The Monuments Men,(2014),6.1,52,111437
3253,Dumb and Dumber To,(2014),5.6,36,109163
3254,Jack Ryan: Shadow Recruit,(2014),6.2,57,106734
3255,Still Alice,(2014),7.5,72,104968
3256,Annabelle,(I) (2014),5.4,37,104386
3257,Wild,(I) (2014),7.1,76,101213
3258,What We Do in the Shadows,(2014),7.6,76,99091
3259,The Giver,(2014),6.5,47,98174
3260,Blended,(2014),6.5,31,97991
3261,If I Stay,(2014),6.8,46,97790
3262,A Walk Among the Tombstones,(2014),6.5,57,97211
3263,The Raid 2,(2014),8.0,71,95614
3264,Pompeii,(I) (2014),5.5,39,94172
3265,I Origins,(2014),7.3,57,93597
3266,Sex Tape,(2014),5.1,36,93569
3267,"Love, Rosie",(2014),7.2,44,88328
3268,Ride Along,(2014),6.2,41,86759
3269,That Awkward Moment,(2014),6.2,36,85414
3270,St. Vincent,(2014),7.3,64,83980
3271,Night at the Museum: Secret of the Tomb,(2014),6.2,47,80627
3272,3 Days to Kill,(2014),6.2,40,76260
3273,The Guest,(I) (2014),6.7,76,75367
3274,Inherent Vice,(2014),6.7,81,74060
3275,"I, Frankenstein",(2014),5.1,30,71653
3276,Selma,(2014),7.5,89,71236
3277,Big Eyes,(I) (2014),7.0,62,68915
3278,Penguins of Madagascar,(2014),6.7,53,67502
3279,Rio 2,(2014),6.3,49,65750
3280,Frank,(II) (2014),7.0,75,64447
3281,A Most Wanted Man,(2014),6.8,73,63521
3282,Paddington,(2014),7.2,77,62864
3283,The Hundred-Foot Journey,(2014),7.3,55,62816
3284,Seventh Son,(I) (2014),5.5,30,62447
3285,The Water Diviner,(2014),7.1,50,62116
3286,This Is Where I Leave You,(2014),6.6,44,60925
3287,Deliver Us from Evil,(I) (2014),6.2,40,59685
3288,"As Above, So Below",(2014),6.2,38,58664
3289,Into the Storm,(2014),5.8,44,58058
3290,Before I Go to Sleep,(2014),6.3,41,57825
3291,The November Man,(2014),6.3,38,55645
3292,The Gambler,(III) (2014),6.0,55,55032
3293,Magic in the Moonlight,(2014),6.6,54,54571
3294,Unfriended,(2014),5.6,59,54406
3295,Two Night Stand,(2014),6.4,45,54369
3296,The Signal,(2014),6.1,54,54247
3297,The Book of Life,(2014),7.3,67,54172
3298,A Most Violent Year,(2014),7.0,79,53902
3299,Mr. Peabody & Sherman,(2014),6.8,59,53313
3300,The Best of Me,(2014),6.7,29,52711
3301,Sabotage,(2014),5.7,41,52107
3302,Calvary,(2014),7.4,77,48174
3303,The Legend of Hercules,(2014),4.2,22,48132
3304,Automata,(I) (2014),6.1,37,47584
3305,The Boxtrolls,(2014),6.8,61,47318
3306,Vampire Academy,(2014),5.5,31,46007
3307,Winter's Tale,(2014),6.2,31,45955
3308,Walk of Shame,(2014),6.0,25,45161
3309,Citizenfour,(2014),8.1,88,44690
3310,Draft Day,(I) (2014),6.8,54,44545
3311,Veronica Mars,(2014),6.8,62,44511
3312,The Cobbler,(2014),5.8,23,43247
3313,The Voices,(2014),6.4,58,42694
3314,Pride,(I) (2014),7.8,79,42242
3315,'71,(2014),7.2,83,42041
3316,The Loft,(2014),6.3,24,41607
3317,Stonehearst Asylum,(2014),6.8,52,41588
3318,Tammy,(2014),4.9,39,40678
3319,Ouija,(II) (2014),4.5,38,40005
3320,Million Dollar Arm,(2014),7.0,56,38982
3321,Hector and the Search for Happiness,(2014),7.0,29,38402
3322,Leviathan,(2014),7.6,92,38185
3323,"Two Days, One Night",(2014),7.4,89,38045
3324,The Rover,(2014),6.4,64,37496
3325,Kill the Messenger,(2014),7.0,60,37447
3326,Mommy,(I) (2014),8.1,74,37245
3327,While We're Young,(2014),6.3,77,37134
3328,Song of the Sea,(2014),8.1,85,36665
3329,Before We Go,(I) (2014),6.8,31,36259
3330,Tusk,(2014),5.4,55,36245
3331,Laggies,(2014),6.4,63,35538
3332,Brick Mansions,(2014),5.7,40,35353
3333,God's Not Dead,(2014),4.8,16,35279
3334,Endless Love,(2014),6.3,30,35225
3335,The Inbetweeners 2,(2014),6.4,55,35087
3336,Paranormal Activity: The Marked Ones,(2014),5.0,42,34824
3337,The Skeleton Twins,(2014),6.8,74,34662
3338,Camp X-Ray,(2014),6.9,54,34190
3339,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",(2014),6.2,54,33971
3340,Time Lapse,(2014),6.5,50,33960
3341,Wish I Was Here,(2014),6.7,43,32705
3342,Maps to the Stars,(2014),6.2,67,32213
3343,Cake,(II) (2014),6.4,49,30976
3344,Goodnight Mommy,(2014),6.7,81,30624
3345,Winter Sleep,(2014),8.2,88,30622
3346,Pawn Sacrifice,(2014),7.0,65,30603
3347,The Salvation,(2014),6.8,64,29844
3348,Cold in July,(2014),6.8,73,29409
3349,Love & Mercy,(2014),7.4,80,29408
3350,Black Sea,(2014),6.4,62,29062
3351,Left Behind,(I) (2014),3.1,12,28994
3352,Annie,(2014),5.3,33,28772
3353,Star Wars: The Force Awakens,(2015),8.0,81,721676
3354,Mad Max: Fury Road,(2015),8.1,90,684180
3355,The Martian,(2015),8.0,80,598204
3356,Avengers: Age of Ultron,(2015),7.4,66,554707
3357,The Revenant,(2015),8.0,76,540438
3358,Jurassic World,(2015),7.0,59,479913
3359,Inside Out,(I) (2015),8.2,94,457146
